#,Year,Title,Venue,Dataset,category,Link
1,2018,Learning to Segment Medical Images with Scribble-Supervision Alone,MICCAIW,"ACDC, NCI-ISBI 2023",Pseudo-labeling (Self-training),x
2,2019,Scribble-Based Hierarchical Weakly Supervised Learning for Brain Tumor Segmentation,MICCAI,BraTS2017,Hybrid (pseudo-labeling+ consistency),x
3,2020,Scribble2Label: Scribble-Supervised Cell Segmentation via Self-Generating Pseudo-Labels with Consistency,MICCAI,"MoNuSeg; DSB-BF; DSB-Fluo; DSB-Histo; EM
",Pseudo-labeling (Self-training),x
5,2021,Learning to Segment From Scribbles Using Multi-Scale Adversarial Attention Gates,TMI,"ACDC; LVSC; CHAOS-T1; CHAOS-T2; PPSS
","Adversarial methods",x
6,2022,CycleMix: A Holistic Strategy for Medical Image Segmentation from Scribble Supervision,CVPR,"ACDC; MSCMRseg","Consistency regularization (combined consistency)
",x
7,2022,Scribble-Supervised Cell Segmentation Using Multiscale Contrastive Regularization,ISBI,,,
8,2022,Scribble-Supervised Medical Image Segmentation via Dual-Branch Network and Dynamically Mixed Pseudo Labels Supervision,MICCAI,ACDC,Pseudo-labeling (Self-training),x
9,2022,Scribble2D5: Weakly-Supervised Volumetric Image Segmentation via Scribble Annotations,MICCAI,"ACDC, CHAOS",Pseudo-labeling (Self-training),x
10,2022,"ShapePU: A New PU Learning Framework Regularized by Global Consistency
for Scribble Supervised Cardiac Segmentation",MICCAI,,,x
11,2022,Weakly Supervised Segmentation of COVID19 Infection with Scribble Annotation on CT Images,Pattern Recognition,,,x
12,2022,Segmentation only uses sparse annotations: Unified weakly and semi-supervised learning in medical images,MedIA,,,
13,2023,Weakly Supervised Medical Image Segmentation via Superpixel-Guided Scribble Walking and Class-Wise Contrastive Regularization,MICCAI,,,
14,2023,"S^2ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised 
Polyp Segmentation",MICCAI,,,
15,2023,"Scribble-based 3D Multiple Abdominal Organ Segmentation via Triple-branch Multi-dilated 
Network with Pixel-  and  Class-wise Consistency",MICCAI,,,
16,2023,Weakly supervised segmentation of uterus by scribble labeling on endometrial cancer MR images,Computers in Biology and Medicine,,,
17,2023,ScribbleVC: Scribble-supervised Medical Image Segmentation with Vision-Class Embedding,ACMMM,,,
18,2023,Segment Anything Model-guided Collaborative Learning Network for Scribble-supervised Polyp Segmentation,,,,
19,2024,ScribFormer: Transformer Makes CNN Work Better for Scribble-Based Medical Image Segmentation,IEEE TMI,,,
20,2024,Scribble-Based Medical Image Segmentation via Shape Perturbation Consistency and Boundary Enhancement Constraint,ISBI,,,
21,2024,ModelMix: A New Model-Mixup Strategy to Minimize Vicinal Risk Across Tasks for Few-Scribble Based Cardiac Segmentation,MICCAI,,,
22,2024,A Bayesian Approach to Weakly-Supervised Laparoscopic Image Segmentation,MICCAI,,,
23,2024,ScribSD+: Scribble-supervised medical image segmentation based on simultaneous multi-scale knowledge distillation and class-wise contrastive regularization,Computerized Medical Imaging and Graphics,,,
24,2024,DMSPS: Dynamically mixed soft pseudo-label supervision for scribble-supervised medical image segmentation,MedIA,,,
25,2024,Non-iterative scribble-supervised learning with pacing pseudo-masks for medical image segmentation,ESWA,,,
26,2025,Addressing Inconsistent Labeling With Cross Image Matching for Scribble-Based Medical Image Segmentation,IEEE TIP,,,
27,2025,FDDSeg: Unleashing the Power of Scribble Annotation for Cardiac MRI Images Through Feature Decomposition Distillation,IEEE JBHI,,,
28,2025,Superpixel-Guided Graph-Attention Boundary GAN for Adaptive Feature Refinement in Scribble-Supervised Medical Image Segmentation,IEEE Acess,,,
29,2025,Volumetric medical image segmentation via scribble annotations and shape priors,Machine Vision and Apps,,,
30,2025,EFFDNet: A Scribble-Supervised Medical Image Segmentation Method with Enhanced Foreground Feature Discrimination,MICCAI,,,
31,2025,HELPNet: Hierarchical perturbations consistency and entropy-guided ensemble for scribble supervised medical image segmentation,MedIA,,,
